what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1625478063400
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1625478063401
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1625478063402
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1625478063402
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1625478063413
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1625478063421
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1625478063422
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1625478063424
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1625478063424
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1625478063424
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1625478063425
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1625478063425
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1625478063426
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1625478063426
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1625478063427
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1625478063428
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1625478063428
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1625478063428
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1625478063429
os,sysinfo,,,"linux",1625478063431
arch,sysinfo,,,"x86_64",1625478063432
ws,sysinfo,,,"gtk",1625478063432
locale,sysinfo,,,"en_IN",1625478063432
processors,sysinfo,,,"8",1625478063432
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1625478063432
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1625478063432
java.specification.name,sysinfo,,,"Java Platform API Specification",1625478063432
java.specification.vendor,sysinfo,,,"Oracle Corporation",1625478063432
java.specification.version,sysinfo,,,"1.8",1625478063432
java.vendor,sysinfo,,,"Oracle Corporation",1625478063432
java.version,sysinfo,,,"1.8.0_161",1625478063432
java.vm.info,sysinfo,,,"mixed mode",1625478063432
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1625478063432
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1625478063432
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1625478063432
java.vm.specification.version,sysinfo,,,"1.8",1625478063432
java.vm.vendor,sysinfo,,,"Oracle Corporation",1625478063432
java.vm.version,sysinfo,,,"25.161-b12",1625478063432
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1625478078165
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1625478078179
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1625478078188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1625478107687
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1625478109563
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1625478110646
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1625478110652
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.massif",1625478110853
stopped,bundle,org.eclipse.birt.chart.device.svg,3.7.2.v20120213,"org.eclipse.birt.chart.device.svg",1625478110854
stopped,bundle,org.eclipse.birt.chart.device.extension,3.7.2.v20120213,"org.eclipse.birt.chart.device.extension",1625478110870
stopped,bundle,org.eclipse.birt.chart.device.swt,3.7.2.v20120213,"org.eclipse.birt.chart.device.swt",1625478110881
stopped,bundle,org.eclipse.birt.chart.engine.extension,3.7.2.v20120213,"org.eclipse.birt.chart.engine.extension",1625478110900
stopped,bundle,org.eclipse.linuxtools.gcov.core,4.1.1.201202152032,"org.eclipse.linuxtools.gcov.core",1625478110902
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201202152032,"org.eclipse.linuxtools.gprof",1625478110904
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201202152032,"org.eclipse.linuxtools.dataviewers.charts",1625478110907
stopped,bundle,org.eclipse.birt.chart.ui,3.7.2.v20120213,"org.eclipse.birt.chart.ui",1625478110915
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1625478110915
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboard",1625478110935
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1625478110936
